1,二语写作中思辨能力的教学与评估:融合式教学法（英文）,董焱宁,外语教学与研究出版社,思辨能力;二语写作;融合式教学法;混合式研究方法;思辨能力评估;,"本研究探索了在二语写作课程中有效进行思辨能力教学以提升学生的思辨能力和二语写作能力的融合式教学法,并在实际教学中进行了实施。通过采用混合式研究方法,本研究侧重于回答三个问题:(1)所采用的融合式教学法对于提升学生思辨和写作成绩的有效性;(2)学生的思辨和写作分数之间的关系;(3)该教学法对于学生的思辨和写作学习所产生的具体效果。研究结果表明,该教学法有效地提高了学生的思辨和写作成绩,且两个成绩之间呈现显著正相关(r=0.893,p<0.01)。此外,研究访谈结果表明,该教学法有效地将抽象的思辨理论与交互式的写作活动贯穿起来,实现了思辨和写作的教学与训练的紧密融合,从而对学生的思辨和写作学习产生了积极的效果。",ChineseJournalofAppliedLinguistics,2017-10-20,期刊,H09,431-451+471,22
2,中国大学英语教师的研究者身份认同研究（英文）,龙娜娜;黄景,德州学院香港浸会大学,研究者身份认同;教师身份认同;大学英语教师;叙事;社会-机构环境;,"基于四名中国大学英语专业教师对自身科研经历的叙述,本文探讨他们的研究者身份认同的动态建构以及促进和阻碍其身份认同建构的主要社会、学校和个人因素。研究发现这些英语教师职业生涯中研究经历可以划分为""起始""、""停滞/发展""和""挣扎""三个主要阶段,他们的研究者身份建构也呈现出不同的发展路径。从环境因素来看,硕士和博士等课程学习环境充满了促进研究者身份建构的因素,而大学工作环境和中国的社会环境则对研究者身份建构起到了阻碍作用。就个人因素而言,动机、学术发表、学术资历和与研究者的社会网络(交流)对研究者身份建构具有重要影响。本研究建议中国大学的英语教师应该提高研究者身份认同意识、不断进行批判性反思、发挥主观能动性以寻求发展机会,而政府和高校则应该通过改革现行的教育和晋升体制为教师的科研投入提供支持。",ChineseJournalofAppliedLinguistics,2017-10-20,期刊,H319.3,371-391+470,22
3,“我终究不能够踮着脚尖跳舞”——英语教学比赛中教师学习的个案研究（英文）,许悦婷,广东外语外贸大学,教师学习;持续性专业发展;实践社群;教师身份;大学英语教师;,"由于大学英语教师肩负着培养具有合格英语水平大学生的重任,近年来其专业发展日益受到各方的重视。有关各方近年来举办了不少持续性专业发展活动如教学比赛等,旨在提高大学英语教师的教学水平并促进教师学习。这些专业活动本意虽好,但业界对此类活动对教师专业发展的影响却所知甚少,如教师学习是怎样在此类活动中产生,有什么重要因素影响了教师学习的产生等。基于此问题,本个案研究基于教师反思日志、访谈、观察小组讨论以及课例与说课视频等数据,报告了一个大学英语教师杰娜(化名)准备与参与英语教学竞赛的过程。本研究结果显示,教师通过合格边缘化参与社群活动产生了浅层次的学习,通过身份危机产生了深层次的学习。本研究还发现,持续性专业发展中的教师学习十分脆弱,其不同的深度和可能性取决于社群中资源及权力关系与教师教学观之间的冲突与融合。本文结论部分揭示了本研究对教师学习理论与教师专业发展实践的相关启示。",ChineseJournalofAppliedLinguistics,2017-10-20,期刊,H319.3,353-370+470,19
4,管理者自主下的学生自主培养——夹层中的教师自主（英文）,王毅,怀卡托理工学院山东理工大学,学生自主;教师自主;管理者自主;控制权转移;课程改革;教师信念与实践;,"培养学生自主能力需要教师对""自主""这一概念的正确理解及对学生减控赋权的行动;同理,教师自主性的提高意味着教育管理者对""自主""的认知及对教师减控赋权的行动。本文探索了在现实等级教育体系下这三种自主的动态交汇碰撞,以期寻求三者之间和谐共存并各自繁荣的最优平衡。本研究立足于一所中国新建私立中学,通过研读校内文件、访谈、课堂观察及课后讨论等多种方法,深度调研了学校一项致力于学生全人发展的综合改革项目,研究对象涵盖了学校校长、教学主管及英语教研组全体九位老师。本文具体探讨了三个问题:1)校长的自主观;2)教学主管设计的旨在培养学生自主能力的课堂教学模式;3)教学主管建立的旨在增强教师自身自主能力的教师培训体系。研究结果发现教育管理者、教师、学生这三者的自主性互相干预,有促进,有制约,关系错综复杂。因此,真正有效的改革必须关注教育等级体系中各层次主体对""自主""这一核心概念属性的真正理解和统一认识,并最大限度地追求这种等级现实下的最优权力分配和转移。该问题值得更多深入细致的实证研究。",ChineseJournalofAppliedLinguistics,2017-10-20,期刊,H319.3,392-409+470-471,20
5,高校外语课堂师生协商意义时支架式学习中自主性研究（英文）,李丹丽,武汉大学,自主性;支架;师生互动;调控;意义协商;,"本研究基于社会文化理论,探讨外语课堂教师搭建支架时的角色变化和学习者自主性的动态发展。通过跟踪考察25名大学生与其英语教师协商意义时的互动话语以及教师访谈话语,发现师生话语成为调节语言学习中构建意义协商的核心机制,教师运用支架作为系统教学工具在互动中扮演不同角色。研究揭示了当学习者从他人调控阶段向自我调控阶段发展时,教师利用课堂教学机会协商自主空间以推动学习者自主性的发展。本文还探究了教师如何有效控制支架的能力,对教师教育和学习者培训具有启示意义。",ChineseJournalofAppliedLinguistics,2017-10-20,期刊,H319.3,410-430+471,22
6,产出导向法评价:引言（英文）,濮实,Beijing Foreign Studies University,O,"<正>The production-oriented approach(POA)has been developed over a decade.It is driven by the need to improve English classroom instruction for university students in China(Wen,2016).It is also motivated by the aspiration to enhance the quality of foreign language education in other similar pedagogical contexts outside China.A volume of research has been done by Wen Qiufang and her research team,to formulate the theory",ChineseJournalofAppliedLinguistics,2017-10-20,期刊,H319.3,452-453,2
7,产出导向法:迈向前方（英文）,Rod,Curtin University,O,<正>In this extremely well-organized seminar various aspects of the POA were presented in the morning while in the afternoon a group of invited evaluators discussed the approach.I would like to thank the organizers of the seminar for inviting me to join the panel of evaluators and to congratulate them on what proved an enlightening and rewarding,Ellis,ChineseJournalofAppliedLinguistics,2017-10-20,H319.3,454-458,5
8,产出导向法研究设计与方向（英文）,Alister,University of TorontoBeijing Foreign Studies University,O,"<正>The development of the Production-Oriented Approach(POA,Wen,2016)has impressed me as an exemplary application of design-based research.The unique ways in which research has shaped this innovative approach to language teaching are worth my elaborating on here because the principles and applications of design-based research are not well",Cumming,ChineseJournalofAppliedLinguistics,2017-10-20,H319.3,459-463,5
9,从职前教师视角反思产出导向法（英文）,Charlene,Michigan State University,O,"<正>In today’s post-method climate,it is unlikely that any named approach or method will be adopted as a whole in a large variety of contexts.While the Production-Oriented Approach(POA)is no exception,it is based on sound principles,and the activities in i English,a tangible implementation of POA,provide excellent models for pre-service teachers.I",Polio,ChineseJournalofAppliedLinguistics,2017-10-20,H319.3,464-467,4
10,对产出导向法的几点思考（英文）,Paul,Arizona State UniversityNanjing University,O,"<正>It was a pleasure being part of the Production Oriented Approach(POA)Symposium at Beijing Foreign Studies University.As a teacher and researcher of writing,I am particularly happy to see an attempt to integrate language production throughout the instructional routine.As a former language learner,it resonates with my own experience of language",Kei,Matsuda,ChineseJournalofAppliedLinguistics,H319.3,468-469,2
11,CELEA新会长就职演说（英文）,孙有中,Beijing Foreign Studies University,O,"<正>Dear colleagues,Good morning.I still want to say good morning although it’s very very late morning.One of the best sentences that have been said about morning in English might be this,a quote from the American author Debasish Mridha,""I drink cup of sunlight every morning to brighten myself.""So have you drunk your cup of sunlight this morning to brighten",ChineseJournalofAppliedLinguistics,2017-10-20,期刊,H319.3,472-474,3
12,第八届中国英语教学国际研讨会成功举行,,O,O,"<正>2017年10月20-22日,由中国英汉语比较研究会英语教学研究分会主办、西安外国语大学承办、外语教学与研究出版社协办的""第八届中国英语教学国际研讨会""在陕西西安举行。来自全球各地的六百余名英语教育与研究专家、学者齐聚古城西安,围绕""国际化环境下的英语教学:新视角、新方法""主题进行深入交流与探讨。本届大会研讨形式丰富多样,共设主旨发言5场、国际应用语言学学会东亚论坛1场、专题研讨12场、工作坊",ChineseJournalofAppliedLinguistics,2017-10-20,期刊,H319.3,475-478+480,5
13,第二语言学习者自我调节学习能力培训的实证研究（英文）,于璐;罗文倬;Felicia,天津医科大学医学英语与健康传媒学院阿肯色大学教育统计与研究方法系阿肯色大学课程与教学系,自我调节学习能力;第二语言学习;学习策略;第二语言能力;,"本研究调查了在常规课堂对第二语言学习者进行自我调节学习能力培训的效果。培训历时九周,培训内容基于齐默曼自我调节学习的三阶段过程框架,包括学习动机(自我效能,目标导向,归因),语言学习策略以及资源管理策略。通过分析多个自我调节学习能力变量和第二语言能力,该研究证实了将自我调节学习能力的培训结合到二语课堂的有效性,同时探讨了该研究部分实验结果与国外同类研究存在差异的原因(如语言学习情景和任务的特点;文化价值差异等)。本研究是将自我调节学习能力这一教育心理学领域的理论引入第二语言教学研究的有意义的尝试。",Lincoln,ChineseJournalofAppliedLinguistics,2017-07-20,H09,233-260+349,29
14,读后续写对汉语二语学习者空间短语结构习得的影响研究（英文）,曾莉云;毛志成;姜琳,天府路小学广东外语外贸大学,读后续写;汉语空间短语;协同;,"读后续写任务是一种将语言输出与输入紧密结合的题型,旨在加速提高学生语言运用能力。在该任务中,学生阅读文章,在理解的基础上通过模仿的方式进行续写。本研究通过考察和对比读后续写与另外一种传统的学习任务——阅读理解对于二语学习者在汉语空间短语结构习得上的作用,探讨读后续写任务的促学作用。本研究将两个自然班的汉语二语学习者随机分为两组:读后续写组和阅读理解组。研究采用""前测—干预—后测1—后测2""的设计模式。在干预过程中,读后续写组完成读后续写任务,即使用中文续写一篇含有目标结构的文章;与此同时,阅读理解组完成阅读理解任务,即阅读同一篇文章后回答问题。由于汉语空间短语包括三个方面特征:框式结构、介词用法和方位词用法,因此两项任务对于汉语空间短语结构习得的作用将通过学习者在三次测试中目标结构的三个方面的正确率来测量。研究结果表明:1)从前测到两次后测,读后续写组的目标结构正确率取得了显著提高,而阅读理解组则无此表现;2)在后测中,读后续写组的目标结构正确率显著高于阅读理解组。",ChineseJournalofAppliedLinguistics,2017-07-20,期刊,H195,298-315+350,19
15,应用语言学40年:内容领域、研究方法和统计技术（英文）,Reza,伊拉姆大学英语系,应用语言学;内容区域;研究方法;统计技术;,"本研究旨在通过对过去40年(1976年至2015年)应用语言学领域的1,366篇研究性文章进行密集文本分析,绘制出研究趋势。这些文章由四位分析师进行编码和分析,以确定其研究内容,研究方法和统计程序。本研究发现文章的平均长度有所增加。平均长度由1976-1985年期间的8.09页上升到2006-2015年期间的14.38页。对RA的详尽检阅还揭示了应用语言学研究研究主题广泛,涵盖了34个研究领域。二语习得、技术与语言学习、语言教学方法、语言测试和心理语言学是研究最集中的领域。定性方法(占33.97%)的是期刊发文的主导性研究方法。在统计技术方面,描述性统计学、皮尔逊相关、ANOVA和t检验是应用语言学研究性文章中最常用的统计方法。",KHANY;Khalil,TAZIK,ChineseJournalofAppliedLinguistics,H08,316-332+350,18
16,投入量假设、词汇学习及元认知控制相关性研究（英文）,覃成海;滕锋,海南大学外国语学院香港浸会大学教育系,元认知知识;控制能力;投入;词汇学习;,"本研究使用了定量和定性的研究方法,旨在描述元认知知识和元认知控制之间的相关性,以及学习者元认知控制能力对投入量假设下词汇学习的影响。60名把英语作为外语学习的大学生参加了本研究。这些受试者首先完成一份元认知调查,随后他们参加了一项词汇测试,在词汇测试后受试者被要求完成三项投入量不一的任务。研究人员对其中的12名受试者进行了访谈调查。研究的结果表明元认知的两个重要组成部分,即元认知知识和元认知控制高度相关。依据元认知知识和元认知控制能力水平,学习者被分为四个组别。研究发现,尽管所有组别都从投入量最高的任务中受益最多,他们的元认知控制能力对投入量假设下的词汇学习效果具有一定的影响,这一点也在访谈结果中得到验证。最后,研究对通过投入量假设任务进行词汇教与学进行了进一步的探讨。",ChineseJournalofAppliedLinguistics,2017-07-20,期刊,H319.3,261-280+349,21
17,英语在中国:实用工具还是文化帝国主义传播媒介?（英文）,威廉·辛普森,伦敦大学学院教育研究院明海大学,语言意识形态;中国英语教学;语言帝国主义;文化帝国主义;外语教育政策;,"在中国,无论是个人还是国家都把英语看作具有巨大实用价值的工具。无论是历史上还是在现实中,中国国内对英语教育的讨论主要聚焦在英语具有的巨大实用价值与担忧英语侵蚀本国文化和语言这一对矛盾上。有人担忧英语可能对中文,进而对中国文化,造成破坏性的影响;有人把英语视作现代化和经济发展的关键。过去和现在,很多人发出声音,表达了保护中国文化身份和精华的愿望。但是,影响文化和语言的力量不仅仅来自外部,也来自内部的主动引进吸收。这些内部力量包括符合全球化市场经济需求的外语教育政策、市场对电视、电影和文学等媒体的英文节目或内容的需求。最终,这些内部力量的存在及其显著意义破解了那些把英语视作文化帝国主义传播媒介的看法。",ChineseJournalofAppliedLinguistics,2017-07-20,期刊,H319,333-348+350,17
18,情境制约性话语与熟语能力:以中国的英语学习者为例（英文）,宫志起;姜晖,纽约州立大学奥尔巴尼分校辽宁师范大学外国语学院,情境制约性话语;文化镶嵌度;语义透明度;熟语能力;阙限;,"针对情境制约性话语与熟语能力的关系,本文重点研究了准中、高级以英语作为外语学习者的情境制约性话语的习得情况。操英语母语者也参与了此次研究,以提供基线数据。单因素方差测试(one-way ANOVA)以及事后比较检定测试(post hoc tests)证实了英语学习者的熟语能力(formulaic competence)的发展明显滞后于语言能力(linguistic competence)的发展。定量分析结果还显示三组受试者对第一类情境制约性话语即plain SBU的习得没有实质区别,这部分归因于plain SBU特定的低文化镶嵌度和高语义透明度。本文还认为英语学习者的外语学习要经历一个阈限才能从以规则为导向的学习转变为以整体为导向的学习。",ChineseJournalofAppliedLinguistics,2017-07-20,期刊,H319,281-297+349,18
19,幽默加工研究的科学知识图谱分析——基于科学计量学的综述(2000-2016)（英文）,郭涵宁;王慧莉,大连理工大学国际教育学院大连理工大学外国语学院,幽默加工;社会认知;脑机制;CiteSpace;科学计量学;,"本研究对2000年至2016年间发表的幽默加工领域的文献进行了科学计量学综述,研究通过对文献共被引网络的聚类和可视化分析,识别出幽默加工领域的研究主题,并通过对突现文献的分析识别出该领域的新兴发展趋势。研究为了更全面的搜集与幽默加工研究相关的文献,运用了主题词检索和拓展引文检索的方式,共得到816条文献记录和42,687条引文以供本研究分析。研究发现幽默加工领域的文献共被引网络中共有10个聚类。社会认知和功能性核磁共振研究是该知识领域中两大重要的基础性研究。幽默加工的性格研究和右脑在加工过程中的作用研究同样受到了学者们更多的关注。另外六个研究聚类包括幽默加工领域中的两性选择、比喻性语言、偏见、面部表情、睡眠剥夺和婴儿的幽默感知研究。本研究还对该领域的引文进行了突现检测以分析幽默加工领域未来的研究趋势。",ChineseJournalofAppliedLinguistics,2017-04-20,期刊,H0-05,192-207+230,17
20,GLoCALL2018学术年会暨2018(第15届)计算机辅助外语教学国际会议,,GLoCALL2018学术年会暨2018(第15届)计算机辅助外语教学国际会议组织委员会,O,"<正>(2018年8月中国·苏州)第一号通知由中国英语教学研究会计算机辅助外语教学专业委员会(ChinaCALL)、亚太计算机辅助外语教学协会(APACALL)和环太平洋地区计算机辅助外语教学协会(PacCALL)联合发起,北京外国语大学网络与继续教育学院与西交利物浦大学语言中心联合主办的""GLoCALL2018学术年会暨2018(第15届)计算机辅助外语教学国际会议""将于2018年8月在苏州举办。会议内容包括会前工作",ChineseJournalofAppliedLinguistics,2017-04-20,期刊,G434;H09,231,1
21,显性元语用教学对中国外语学习者习得恭维语回应的影响（英文）,周文;邓军,湖北文理学院理工学院外语系中南大学外国语学院,恭维语回应;显性元语用教学;书面语篇补全测试;,"本研究探讨了显性元语用教学对中国的外语学习者习得恭维语回应的影响。82名非英语专业的学生参加了这次研究。实验组除常规英语教学外,接受恭维语回应的显性教学,控制组为常规教学。研究采取的是前测/后测实验设计,并通过书面语篇补全测试来收集数据。该测试设计了六个情境,涵盖三个恭维话题(外貌、能力、品格)。研究结果表明:就宏观回应策略而言,实验组大幅度降低了接受策略,增加了混合策略的使用;就微观策略而言,实验组大幅度减少了感激策略的使用,增加了双重接受策略的使用。控制组学生在后测中没有表现出明显的变化。本研究对外语环境下的语用学习和教学提供了教学参考和启示。",ChineseJournalofAppliedLinguistics,2017-04-20,期刊,H09,167-178+229+179-180,15
22,高风险英语考试作文评分员影响因素研究（英文）,陈建林,兰州大学外国语学院,评分员;TEM-8考试;作文评分过程;评分员影响因素;,"该研究包括两个阶段的问卷,旨在调查高风险英语考试作文评分员影响因素,所有调查者均为大学英语专业老师。第一阶段有73名受试,第二阶段有75名受试,两个阶段相隔一年,采用同样的调查问卷。数据分析将探索性因素分析和验证性因素分析相结合。结果显示有6个主要因素影响到评分过程:评分量表,评分员培训,评分监督,评分员特征,易识别文本特征,评分环境。这些因素之间的相互影响反映了来自考试机构的约束和评分员自身对作文评分的知识和理解之间的冲突。该研究将为考试机构采取措施提高作文评分质量提供参考。",ChineseJournalofAppliedLinguistics,2017-04-20,期刊,H315,208-228+230,22
23,二语对一语在写作表达中词汇运用能力以及语法特性的影响（英文）,蔡春鹏;安熙燉,渤海大学(韩国)建国大学,词汇多元化;词汇多样性;词汇丰富性;语法特性;,"本文针对韩语语言习得条件下,中国双语话者在对韩语的习得过程中,其韩语对汉语在单词运用能力以及语法特性的逆向迁移作用进行了研究。统计分析结果表明,二语对一语在词汇多样性运用和语法特性的影响呈现双向显著影响作用。双语话者的二语习得对一语词汇多样性的应用起到了积极的正向迁移作用。在写作任务中,二语话者没有体现词汇丰富性下降现象,反而呈现出显著的词汇多样性运用能力的提升。但是,双语话者在写作中呈现了更多的语法错误和更长的词汇回忆时间,显著体现出二语对一语的负向迁移作用。该研究结果充分验证了二语导出模式没有取代或恶化一语的词汇应用能力,反而对他们的一语表达起到了促进增强作用。该现象可以被特定为对已存在的一语语言的概念系统和语言选择的增强作用。即,二语话者的一语语言应用能力会因二语语言的习得而有所提高。本研究对多重语言研究中二语不仅对一语有负向干预作用(负向迁移),同时对一语也有正向促进作用(正向迁移)的理论起到了积极的实证检验作用。",ChineseJournalofAppliedLinguistics,2017-04-20,期刊,H55,181-191+230,12
24,英语语言课程:中国一省高校英语系的比较研究（英文）,赵雯;David,东北大学外国语学院香港教育大学,英语课程;院校评估;英语专业;课程设置;,"世界各地很多的高等教育机构都建立了质量监控体系,以保持标准。本研究报告了2012年在中国东北某省所进行的英语专业评估中对院校间课程所进行的比较研究。该研究主要是质性的探究,其所收集的数据主要是通过各高校在网上所提交的文件以及后续的半结构化访谈所获取的。来自12所高校37名参与者参加了此项研究。研究结果表明,课程取向因高校的不同而不同,其取向的不同也反映在他们的课程设计之中。本研究将有助于了解目前中国正在进行的课程改革,了解其国际化和本地化的课程需求,同时也有助于了解各种不同类型高校的课程设置。",CONIAM;肖扬羽,ChineseJournalofAppliedLinguistics,2017-04-20,H319.3,125-144+229,21
