1,宋词中所见舞伎缠足、步法考,尹航,北京舞蹈学院学报编辑部,宋词;宋代舞伎;缠足;罗袜;弓鞋;步法;,"宋代舞伎缠足与宋代普通女子缠足的时间趋于一致,大致均起自北宋年间。此时尚处于缠足刚刚兴起的阶段,其样态和尺寸与明清时期明显不同。宋代舞伎只会将脚尽量缠紧或缠小,而不会使脚部骨头严重变形以致影响跳舞。《全宋词》中描写舞伎缠足、步法的词共25首,从中可以考证出宋代舞伎缠足的形状为小、窄、弓,舞伎既有缠足后直接穿袜而舞,也有着鞋而舞的情况,其所穿大多为罗袜、弓鞋或弓靴。缠足势必会对舞蹈步法产生影响,""步步金莲""与""凌波微步""集中体现了缠足后步法的精妙之处。相应地,赤足起舞在宋代已成为边缘化的现象。",北京舞蹈学院学报,2017-12-31,期刊,I207.23;J709.2,8-15,8
2,“想象机制”在舞蹈表演实践中的应用,张瑞智,湖南城市学院艺术学院,舞蹈表演;想象机制;高峰表现;表演心理学;,"在表演心理学范畴中,科学的""想象机制""模型与心理干预等技巧的运用,可以有效地帮助舞者提高在舞蹈表演过程中的状态、能力的展现以及对舞蹈表演过程的理解,从而在舞蹈表演的过程中实现""高峰表现""。本文结合表演心理学的相关理论,分析在舞蹈表演中如何运用""想象机制""指导、干预舞者的舞蹈表演状态;通过中西方关于""想象机制""的相关理论对舞蹈表演实践的分析比较,强调在""科学想象""基础上,""艺术想象""可以加强舞者对人物角色的塑造以及舞蹈艺术作品意境的营造,从而为舞蹈表演理论的研究提供新的视角。",北京舞蹈学院学报,2017-12-31,期刊,J712,84-88,5
3,汉代鞞暨鞞舞考,刘银清,山东师范大学文学院,鞞;鞞舞;形态;合流;,"鞞鼓的形制约分为三种,一种是有柄有耳,是较大的拨浪鼓;一种是有柄无耳,和有柄的手鼓相似;一种无柄无耳,和无柄的手鼓相似。鞞舞可分为两类,一类是舞者在舞蹈中,一手持鞞,一手拊击;另一类是将鞞鼓放置在地上,舞者边舞蹈,边用足踏击。鞞舞在汉代已经与其他舞蹈发生合流,与盘舞一起表演的称作盘鼓舞,与扇舞一起表演的称作鞞扇舞。",北京舞蹈学院学报,2017-12-31,期刊,J722.21,1-7,7
4,清代方志文庙舞佾图考论,彭志,浙江大学人文学院,方志;文庙舞佾图;形制;源流;乐歌舞;礼乐文明;,"明清两朝修志风潮炽盛,志书中往往有对丁祭祀孔仪式舞蹈过程的记载,但多用字谱,存世图谱较少。清代方志中著录的文庙舞佾图基本形制由三十六舞生,冠、带、袍、靴四舞衣,旌、翟、籥三舞器,八大舞容,十一动势,九十六字舞式构成。在源流上,方志文庙舞佾图和礼制乐舞型书关系密切,早期时,多是对其进行简化、重组或改写;而待方志形成层累系统后,晚出方志舞佾图更多借鉴自早期方志。在清代祭孔仪式中,用乐多是中和韶乐,用歌多是首句为""予怀明德""的四言诗,用舞多是六佾文德之舞,而乐、歌、舞三者则表现为密切无间的一体关系。从祭祀对象、表意方式、寄存文献三个层面切入,可发现方志文庙舞佾图是推扬地方礼乐文明发展的重要关节。",北京舞蹈学院学报,2017-12-31,期刊,J709.2,16-25,10
5,"礼成乐备,人和神悦——清代地方志中祭孔舞谱辨析",阮岷,北京舞蹈学院中国人民大学,清代;地方志;乐舞;舞谱;,"祭孔乐舞是清代祭祀乐舞中很重要的一部分,本文依据清代地方志中舞谱的记载,对不同时期、不同地区所记载乐章内容的对比与比较,对不同版本的舞谱的演变做出分析,同时根据地方志的记载,还原祭孔乐舞在当时实际的开展情况,为清代乐舞研究提供新的视角。",北京舞蹈学院学报,2017-12-31,期刊,J722.29,26-32,7
6,转化学习理论在成人舞蹈学习中的思考和应用,李诗珩,北京舞蹈学院研究生部,转化学习理论;舞蹈学习;理性反思;创造思维;,"""成人转化学习""理论(Transformative learning)属于教育学中的概念,为成人观念转化、行为和决策的改变提供了重要理论指导,其基本概念为艺术普及型的成人舞蹈学习提供了理论指导和支持。随着我国群众文化活动的逐步深入和普及,成人舞蹈学习,更加注重舞蹈对于成人学习者观念的转变和创意思维的启发,因而其指导思想显现出新理论的缺失和需要。本文在解释和引用教育学转化学习理论的同时,针对成人舞蹈学习进行观察、参与和反思,以期为舞蹈教育者提供理论参照,提高教育者对于成人舞蹈学习中""转化""一环的认识。",北京舞蹈学院学报,2017-12-31,期刊,G720;J70-4,136-140,5
7,北京舞蹈学院青年舞团作品,,北京舞蹈学院宣传部,O,"<正>10月10日晚,由我校与江西吉安职业技术学院联袂打造的原创舞剧《井冈·井冈》在国家大剧院第十届""春华秋实——艺术院校舞台艺术展演周""隆重公演。为纪念中国人民解放军建军90周年、秋收起义90周年、井冈山革命根据地建立90周年,我校校长郭磊担任总导",井冈·井冈,牟可,北京舞蹈学院学报,J723-2,3+5-6,3
8,《舞论》的古典舞蹈论,尹锡南,四川大学南亚研究所,《舞论》;婆罗多;印度古典舞;艺术理论;,"《舞论》是印度古代著名的梵语艺术理论著作。本文先简要介绍《舞论》的大致结构和内容,再对其关于舞蹈起源、功能、分类、刚舞和柔舞、各种手势、步伐、坐姿、行姿和躺姿等规定进行评析。《舞论》还论及舞蹈与戏剧、音乐的联系。《舞论》具有非常典范的理论价值,对当代舞蹈艺术实践具有重要的指导意义。",北京舞蹈学院学报,2017-12-31,期刊,J732.4,33-38,6
9,阿甘本论作为“姿态”的舞蹈,支运波,上海戏剧学院南京大学,阿甘本;舞蹈;姿态;伦理;生命政治;,"阿甘本拒绝在审美领域内看待舞蹈,而是把舞蹈定义为姿态。这首先意味着舞蹈是一种空无、无目的的纯粹手段,而不是指向目的的手段或目的本身。其次,这也意味着舞蹈是一种运动,而这种运动并非是一般性的身体动作,而是与人民关联的作为权力的权力体制。这两种意图都最终指向了舞蹈作为纯粹姿态所具有的伦理与生命政治的当代资本主义治理装置的生命美学机制。",北京舞蹈学院学报,2017-12-31,期刊,J702,39-43,5
10,舞蹈民族志的撰写与反思——基于人类学的视角,刘姝曼;王建民,中央民族大学,舞蹈民族志;撰写;反思;艺术人类学;,"舞蹈自始至终是文化人类学关注的重要事象,在不同理论学派的民族志中都有不同的诠释。本文从人类学视角,对不同范畴探讨舞蹈的脉络进行追溯和阐述,在回顾经典民族志的基础上,从艺术人类学角度对舞蹈民族志撰写进行反思。",北京舞蹈学院学报,2017-12-31,期刊,J70-05,44-50,7
