1,基于产业集聚视角下中国城市水污染治理研究,聂欣;陈健,暨南大学经济学院广东外语外贸大学金融学院,产业集聚;地级市;水污染;门槛模型;,"集聚发展与环境污染的关系一直是学术界关心的重要问题。本文以产业集聚为视角,利用我国2003-2014年251个地级市的数据来研究产业集聚对我国的水污染的影响。研究结果表明:产业集聚对于水污染的影响并非简单的线性关系,而是呈现倒U型关系。具体而言,发展初期集聚程度较低时,产业集聚将会恶化地区的水环境状况,当集聚提高到一定程度后,产业集聚将表现出环境正外部性从而缓解环境污染现象。同时,产业集聚对于环境污染的影响呈现典型的门槛效应。此外,环境管制强度的提升将会使产业集聚更好地发挥其环境正外部性,反之环境管制强度较低时,产业集聚可能造成周边的环境污染。根据研究发现,本文提出如下政策建议:在产业集聚区内,严格环境准入,深化项目管理;加快基础设施建设,提升企业用水效率;完善相关排污费政策,落实排污的主体责任。",城市观察,2017-12-20,期刊,X52,149-161,13
2,全球机场群空间格局及其对粤港澳大湾区的启示,曹小曙;杨景胜;廖望,中山大学城市与区域研究中心广东省东莞市城建规划设计院,机场群;空间格局;全球城市区域;粤港澳大湾区;,"基于2016年的OAG计划航班数据,重点分析了全球机场群的空间格局,并以纽约、旧金山、日本湾区为全球城市区域机场群的典型案例,具体分析了三大湾区发展现状。研究发现:除美国和欧洲的英、法、德、意等国外,中国、日本、泰国和巴西等国的机场群数量占有绝对优势。粤港澳大湾区作为中国发展最为成熟的机场群,呈现出多核心的发展模式,机场体系较为完善,但辅助机场潜力善待挖掘。从空间距离来看,世界三大湾区机场群内机场布局更为紧凑,而旅客在粤港澳大湾区机场间流通的时间成本仍旧过高。在""粤港澳大湾区""的发展主题下,未来应注重打造多功能国际航空门户,服务于""一带一路""战略,挖掘辅助机场的发展潜力,完善机场等级体系,加快建设高效的地面交通疏散网络。",城市观察,2017-12-20,期刊,F562.8,35-44,10
3,规划视角下的城市创新与“创新人”——美国纽约的经验与启示,赵峥,北京师范大学经济与资源管理研究院首都科技发展战略研究院,创新人;城市规划;城市创新;,"纽约城市规划立足""创新人""的需求,营造城市创新生态,不仅为自身城市创新发展提供了良好的基础和保障,也为中国城市创新发展提供了借鉴与经验。在中国城市化发展进入质量导向的新阶段,中国城市需要坚持以人为本,围绕提升""创新人""能力、动力、活力和承载力,依靠创新实现城市可持续发展。",城市观察,2017-12-20,期刊,TU984.7,112-118,7
4,基于场所精神的居住区更新改造规划研究——以武汉青山区红房子片区为例,刘润;管子仪;李红润,湖北大学资源环境学院,场所精神;更新改造;城市文化;红房子片区;武汉市;,"城市建筑记录着历史发展的脉络,城市发展是历史文化和城市精神的有机延伸,然而推倒重建式的城市更新使场所精神难以延续。老居住区是其中一类蕴含着丰富的日常化、情感化、地域性的场所精神的区域。本文通过大量实地调研、文献梳理、归纳演绎等系统的质性研究方法,首先对老居住区的场所精神进行深入解读,并据此提出基于场所精神的老居住区更新改造的一般思路和方案;其次以武汉青山区红房子为例进行实证研究,探寻红房子片区的场所精神以及更新改造所应采取的途径与方案,希望以此为城市老居住区更新改造提供一定借鉴。",城市观察,2017-12-20,期刊,TU984.12,102-111,10
5,城市更新:实践、变革与创新——第二届“设计城市”圆桌研讨会在广州举行,,O,O,"<正>11月24日,由广州市社会科学界联合会、华南理工大学联合主办,华南理工大学建筑学院、华南理工大学社会科学处、《城市观察》杂志社联合承办的""城市更新:实践、变革与创新""——第二届""设计城市""圆桌研讨会在华南理工大学建筑学院红楼一楼报告厅举行,这也是第四届广州学术季的重要活动之一。会上,华南理工大学建筑学院王世福教授、东南大学建筑学院阳建",城市观察,2017-12-20,期刊,F299.2-2,2,1
6,差距与对接:粤港澳大湾区国际化营商环境的建设路径,谢俊;申明浩;杨永聪,广东外语外贸大学粤港澳大湾区研究院,粤港澳大湾区;营商环境;建设路径;,"透明、便利、法治的营商环境是湾区经济取得成功的重要前提,国际化营商环境建设的成效决定着粤港澳大湾区能否实现从区域性湾区向国际大湾区跨越和升级。本文基于粤港澳大湾区城市群发展规划这一政策背景,系统识别粤港澳大湾区与国际一流湾区在营商环境上所存在的外部差距,以及粤港澳大湾区城市之间在营商环境上的内部差距,并综合归纳营商环境建设的国际先进经验,最后从市场环境、政务环境、法治环境和社会环境四个方面提出粤港澳大湾区国际化营商环境的建设路径。",城市观察,2017-12-20,期刊,F127,25-34,10
7,粤港澳自贸区协同引领“一带一路”建设研究,黄霓;陈茜,广东省社会科学院国际经济研究所,“一带一路”;自贸园区;粤港澳合作;协同引领;,"""一带一路""倡议和自由贸易园区的设立均是新时期中国扩大对外开放的主要形式,是中国全方位融入世界的重要战略部署。粤港澳地处中国南大门,面向东南亚,背靠泛珠江三角洲等广大腹地,更是21世纪海上丝绸之路的门户枢纽。依托港澳自由港优势,粤港澳自贸区协同充当""引进来""和""走出去""的桥梁和平台,将引领""一带一路""建设向纵深发展。",城市观察,2017-12-20,期刊,F127,45-55,11
8,南沙自贸试验区与广州国家自主创新示范区的联动发展研究,陈林;邹经韬,暨南大学产业经济研究院,自贸试验区;自主创新示范区;双自联动;,"自贸试验区和自主创新示范区均是我国的国家战略,前者要通过制度创新实现开放对改革的倒逼机制,后者要通过体制机制创新形成创新驱动对产业转型升级的引领作用。当两大国家战略进行叠加融合时,不仅可以形成物理空间上的联动,而且还可以形成制度创新与科技创新的联动,高规格贸易规则与创新驱动的联动。目前,广州市对内面临经济结构优化、产业转型升级的需要,对外面临国际经济贸易规则重构的压力。这要求广州政府必须运用""双自联动""的发展优势,合理制定""双自联动""发展策略,为广州市解决内外发展难题开辟出新的突破口和创新道路。",城市观察,2017-12-20,期刊,F752.8,56-66,11
9,港澳青年参与南沙新区发展研究,钟韵,暨南大学经济学院特区港澳经济研究所,南沙新区;港澳青年;就业与创业;,"人才交流是区域合作的一项重要内容。粤港澳大湾区建设时代下,广东自贸区面临重大的发展机遇,具有良好的发展势头,同时亦担负着为港澳青年拓宽发展空间的任务。本文试图在对南沙新区引进人才的现状特征与发展趋势的分析基础上,基于对港澳青年的调研及问卷调查资料,描绘出港澳青年对于到南沙新区实习、就业及创业的意愿,以及港澳青年目前对于到南沙工作的顾虑,最后提出促进港澳青年到南沙就业创业的策略建议。",城市观察,2017-12-20,期刊,F279.27,67-74,8
10,消除农村土地流转中阻力的有效途径:农民工返乡创业——以安徽为例,汪独友,盐城师范学院公共管理学院,农民工;返乡创业;土地流转;安徽;,"工业化和城市化的发展吸纳了大量的农村剩余劳动力,农村的土地出现了相对剩余,规模性的土地流转成为一种必然的趋势,但在流转过程中仍存在着一定的阻力。近年,农民工返乡创业潮流的兴起,为加速土地流转提供了机会。毫无疑问,农民工是促进农村土地流转的重要力量之一,有效的土地流转对农村经济发展起着良好的推动作用。本文以安徽省为例,首先阐明农民工返乡创业对于加快农村土地流转的意义,然后对农村土地流转中的阻力进行分析,最后提出相应的对策,以供有关部门参考。",城市观察,2017-12-20,期刊,F321.1;F323.6,83-92,10
