1,气象武器发展的伦理困境及其应对策略,杨琼;施威,南京信息工程大学科学技术史研究院,战争;气象武器;灾难;伦理;,"现代科技的飞速发展深刻改变了战争的形态及作战方式方法。随着气象科学在军事领域的广泛应用,气象与战争的关系逐渐得到关注和重视。气象武器能够激发气候系统中蕴藏的巨大能量,但这种违背自然规律的行为极易导致毁灭性的、难以控制的自然和伦理灾难。本文从科技伦理角度分析气象武器可能造成的危害,探讨如何规范、控制气象武器开发是当前亟待解决的重要课题。",安徽文学(下半月),2017-12-25,期刊,E92,158-160,3
2,“科幻文艺鉴赏”课程改革的探讨,杨凯,南京信息工程大学科学技术史研究院,科幻文艺作品;教学理念;课程改革;,"本文针对现有""科幻文艺鉴赏""课程所面临的教学困境,研究分析:培养计划对于鉴赏类课程本身存在压制、课程与教学的模式陈旧兼不受重视、教学内容不够丰富以及受众自身视野狭窄等四种不利因素,探索解决方法。该类课程的传统教学模式与方法已经无法适应研究生培养的基本需求,失去了对本专业人才培养的支持作用,因此亟待课程改革。基于实际情况并针对相关问题,本文从教学理念、课程结构、教材的选用、模式与方法等四个方面出发,对""科幻文艺鉴赏""课程的改革方案进行了探讨。",安徽文学(下半月),2017-12-25,期刊,G642;I0-4,108-110,3
4,浅析《雪国》翻译中的译者主体性——以叶渭渠版本翻译为例,韩秀宏,南京信息工程大学语言文化学院,译者主体性;翻译;文化;,"译者主体性这一因素在翻译活动中的作用不容忽视,译者往往因为自身因素以及对作品的理解差异而导致译本完美再现原作或与原作有一定的差异。本文以叶渭渠翻译的《雪国》为例分析译者主体性在语言、思想层面的体现。论证译者的创造性、主体性对作品的完美再现起着重要作用。",安徽文学(下半月),2017-12-25,期刊,H36;I046,65-66,2
5,从《无人生还》两译本翻译策略的选择看译者主体性的体现,阮馨蓓,阜阳师范学院,《无人生还》;翻译策略;译者主体性;,"传统翻译观主张译文应完全忠实于原文,译者也一直处于从属于作者的地位,译者的主体性得不到体现,而现代很多译学家开始关注译者在翻译活动中主体性的体现。本文以《无人生还》两译本为例,通过分析两译本在翻译策略选择上的区别来看译者的主体性是如何体现的。",安徽文学(下半月),2017-12-25,期刊,H315.9;I046,72-73,2
6,从翻译目的论的视角比较《哈姆雷特》选段的两个中译本,宋珍珍,郑州大学外语学院,翻译目的论;《哈姆雷特》;目的原则;连贯原则;忠实原则;,"翻译目的论是由德国学者汉斯·维米尔于20世纪70年代提出的。《哈姆雷特》是著名戏剧大师莎士比亚的代表作之一,对其译本的研究也是很有必要的。因此,为了更好地学习西方文化,从翻译目的论这个视角对朱生豪和卞之琳所译的《哈姆雷特》选段进行研究是必不可少的。本文主要从目的论的三个原则对《哈姆雷特》选段的两个中文译本进行对比分析,从而说明翻译目的论在文学翻译中所起到的重要作用。",安徽文学(下半月),2017-12-25,期刊,H315.9;I046,74-75+89,3
7,在不确定中寻求“确定”感——叙事学视角下《终结的感觉》主要人物分析,孙昕昕,南京艺术学院,《终结的感觉》;叙事学;人物分析;,"传统结构主义叙事的""功能型""人物观可与传统批评的""心理型""人物观相结合,相互补充,共同用于叙事学视角下的人物分析。本文以该理论为基础,分析巴恩斯《终结的感觉》中的主要人物,表明作者通过各种叙事和人物塑造技巧,透过层层""不确定""的表象,最终是为了追求终结所暗含的相对""确定性""。",安徽文学(下半月),2017-12-25,期刊,I561.074,29-30+36,3
8,文本情绪初探——以《百年孤独》为例,杨光,西北民族大学文学院,文本结构特征;文本情绪;百年孤独;马尔克斯;,"文本是一个各种语言突出手段所产生的意义的复合体,而文本的情绪正是在这种复合中生成的。这个过程,也就是文本的自律的过程。文本的自律说明文本就是目的本身。《百年孤独》文本中的俄狄浦斯王式的收到预言——逃避预言——预言实现和西绪福斯循环式的荒诞结构,以及通过拉美人的视角来叙述事物而产生的陌生化效果,受拉美土著文化影响而带有原始宗教迷信色彩的时空观,这三者共同构成了《百年孤独》的文本情绪。故而情绪这个概念不单单是有关人的感性方面的一个概念,情绪在文本中还为文本结构所有,不同的文本结构具有其特定的情绪。一个文本中其对不同文本结构的运用或文本结构对自身进行表现就构成了这个文本的文本情绪。",安徽文学(下半月),2017-12-25,期刊,I775.074,22-26,5
9,从人物塑造和主旨表达看小说《复仇女神》在法国的接受,刘晓旭,浙江大学外国语言文化与国际交流学院,乔纳森·利特尔;人物;主旨;复仇女神;纳粹;,法语小说《复仇女神》以德国党卫军军官的视角描写了二战时期纳粹对犹太人等的屠杀和德国的最终陷落。本文将从小说的人物塑造和主旨表达两个方面分析这部小说在法国知识界的接受。,安徽文学(下半月),2017-12-25,期刊,I712.074,27-28,2
10,论《人性的污秽》中的不可靠叙述,周曦,南昌大学外国语学院,《人性的污秽》;不可靠叙述;道德立场;,"《人性的污秽》中的内森即是剧中的人物,也是主要叙述者,同时也是""作者"",但这并不意味着""我""就是隐含作者。""我""的道德偏差及所站立场会对整个故事的叙述会产生主观影响,导致""我"",也就是第一人称叙述者的不可靠。本文通过分析隐含作者与叙述者之间在叙事上的不吻合,结合多次叙述人称转换之间对事件真实的多角度叙述,揭示作者正是利用不可靠叙述深化了文章的主题,""人性的污秽""。",安徽文学(下半月),2017-12-25,期刊,I712.074,31-32,2
11,无奈的亲情——卡夫卡小说《变形记》中“妹妹”形象的分析,曾悦,北京大学外国语学院,《变形记》;妹妹形象;情感;俄狄浦斯情结;,"卡夫卡的代表作《变形记》中的妹妹葛蕾特的形象十分引人注目,在格里高尔变形的过程中,妹妹的形象也经历了一次变化,她对哥哥的态度在变形前后也显示出了由热到冷的转向。格里高尔对妹妹一直有着特殊的感情,在他心目中妹妹有着非同寻常的地位。正是由于妹妹的抛弃,格里高尔最终走向死亡。但从细节人们可以发现,根本上妹妹对哥哥还是充满爱意的,她对哥哥的感情十分复杂,是一种无奈的亲情。",安徽文学(下半月),2017-12-25,期刊,I521.074,33-36,4
