1,修辞的功能与形式,巴里·布鲁梅特;郭恩华;李秀香,美国德克萨斯大学奥斯汀分校传播学系同济大学外国语学院福建师范大学外国语学院,修辞;形式;功能;文化;修辞历史;修辞理论;,"对历史上出现过的诸多修辞的定义与理解,可以依据修辞的功能与形式加以分类整理,即关注修辞在不同文化语境中的不同作用及具体表现形式。本文提出了一系列问题,旨在引起学界对修辞功能与修辞形式的关注,也是对当前学界探究修辞在不同文化之间和不同历史时期的传播与发展做出的回应。",当代修辞学,2018-11-29,期刊,H05,1-6,6
2,也论隐喻为什么可能,龚玉苗,淮海工学院外国语学院,隐喻;关系相似性;同一性;复杂系统;事件;超学科;,"本文提出隐喻的""关系范畴模型""以回答徐盛桓教授提出的""隐喻为什么可能""之问。有四点发现:(1)隐喻本体和喻体的关系基于模糊逻辑;(2)隐喻义的产生基于可能世界的""对等项对应""关系;(3)本体和喻体之间的范畴联系中介(相似性)具有关系属性;(4)隐喻得以""据事假物""是基于关系范畴的双重性。这四点发现说明隐喻是一个复杂系统;认识论层面承认隐喻的复杂系统属性有着重要的方法论意义,意味着当下对隐喻之问的任何一种基于特定研究范式的解答都会有所纰漏,其彻底解答必须通过超学科研究范式。和当下复杂系统理论和认知科学进展相呼应,本文认为该问题的超学科研究需要以下方向的协作:(1)在反思计算主义的基础上采取涉身认知—嵌入式认知—延展认知到生成认知的心智哲学研究进路;(2)寻找隐喻的神经相关物的生物学进路;(3)强调自组织演化的认知的动力系统研究进路。",当代修辞学,2018-11-29,期刊,H05,7-18,12
3,“来+NP”的构式特征及其能产性,施春宏;李聪,北京语言大学语言科学院,“来+NP”构式;构式特征;构件特征;构体特征;能产性;互动关系;,"本文从构式角度考察""你来前锋""""咱们来盘棋""这种""来+NP""现象的构式特征及其生成能力。文章首先讨论了学界关于""来+NP""构式中形义特征的理解问题,接着分别从构件特征(即作为构件而具有的组构特征)和构体特征(即作为构式而具有的整体特征)两个方面考察""来+NP""的构式特征。在此基础上本文从适用场景、语境建构、范畴重构三个方面讨论该构式的能产性。文章最后指出,只有在多重互动关系的结构化模型中,才能充分认识构式特征及其形义组配关系。",当代修辞学,2018-11-29,期刊,H146,19-35,17
4,从“没有”的演化和使用看汉民族的空间性思维特质,王文斌;张媛,北京外国语大学中国外语与教育研究中心国家语言能力发展研究中心山东师范大学,“没有”空间性;演化;使用;,"""没有""是汉语的主要否定标记之一,其发展演变和使用现状能昭显汉民族的思维方式。本文基于古代和现代汉语语料库,从历时和共时两个维度探索""没有""与汉民族思维方式的关联性。本文发现,""没有""形成过程中的核心要素之一是""有""的名物化倾向;""没有""可以否定名词、动词和形容词的原因在于,动词和形容词进入""没有""的否定框架后,在概念上可以被识解为名词所勾画的空间性区域,即物化识解。""物""的根本特征在于其空间性,而""名物化""就是空间性思维作用的结果。由此推论,""没有""的演化及其使用能反映出汉民族的强空间性思维特质。",当代修辞学,2018-11-29,期刊,H14,36-47,12
5,“有+零度(中性)名词”结构的认知和语用阐释,束定芳,上海外国语大学,有字结构;零度名词;构式;认知;,"本文通过分析《现代汉语词典》中相关名词的定义,对汉语""有+零度名词""结构中""零度名词""的特征进行了描述,从语言输出和理解的角度解释了""有+零度名词""产生的社会、语言和心理原因以及使用特点。本文认为,这一结构所表达的特殊意义是构式义与词汇意义之间相互作用的结果,其使用与语言本身的特点以及人们的社会文化心理密切相关。其中,语言因素包括相关名词所指事物特征的描述要求、语言表达的模糊性等,社会心理则特别指人们""求好""""求多""的利己心理。",当代修辞学,2018-11-29,期刊,H043,48-54,7
6,语篇意义整合的过程与机制探析,殷祯岑,上海师范大学教育学院,语篇意义整合;语篇意义结构;自组织机制;主体控制机制;互文语篇理论;耗散结构理论;,"语篇的意义不是天然的铁板一块,是由异质离散的意义单元交织互动,从混乱到有序地整合而成。语篇的意义整合经历前语言和语言表征两个阶段。前语言阶段的意义整合具有无意识属性,主体认知世界中的异质意义单元交织互动,自组织生成意义耗散结构;语言表征阶段的意义整合在主体的有意控制下完成。主体运用符号资源对前语言意义结构进行转写和深化加工,促使其转化为结构完整、表达流畅、可用于人际意义交流的线性语篇。本文试图构拟语篇意义整合的完整过程,并根据前语言意义结构的形态特征,系统描写主体干预意义整合在4个角度、11个方面的具体操作,对意义整合的主体控制机制进行全面探析。",当代修辞学,2018-11-29,期刊,H15,55-67,13
7,场景时代的军事公共外交话语,李战子,国防科技大学国际关系学院,场景时代;语境理论;功能语言学;语域;军事公共外交话语;,"本文通过概述场景时代移动媒体的变化和话语形态的关联,讨论功能语言学的语域和语类理论面临的新挑战,从更新理论层面对移动媒体话语形态的描述,更好地契合全媒时代对话语分析的实际需求,并例举军事公共外交话语加以说明。研究发现,语类及其互文作为意识形态和社会文化的实现是功能语言学对话语分析的重要贡献,场景时代为我们提供了全新的角度看语类的发展和变化。本文将军事公共外交话语置身于场景时代考察,力图说明场景时代军事公共外交更加丰富的话语形态。",当代修辞学,2018-11-29,期刊,H030,68-76,9
8,中学与西学相约聚首,,复旦大学中文系,O,"<正>由复旦大学中文系、现代语言学研究院(筹)、《当代修辞学》编辑部主办的""符号与修辞""前沿理论工作坊于2018年9月22日在上海复旦大学举行。来自国内符号学与修辞学研究领域的著名学者汇聚一堂,就符号与修辞的本质与规律、符号学与修辞学研究的领域视角、理论方法以及符号与修辞的关系等前沿课题展开了热烈而深入的讨论。上海、北京、天津、成都等地高校的师生参与了本次工作坊。工作坊由《当代修辞学》主编、复旦大学中文系教授祝克懿主持。",符号与修辞携手前行——“符号与修辞”前沿理论工作坊述评,黄兵;林慧珍,当代修辞学,H05,90-91,2
9,“修辞和语法的互动研究”高峰论坛述评,姚远;陈伟,上海外国语大学国际文化交流学院,O,"<正>2018年10月20—21日,由上海外国语大学国际文化交流学院、复旦大学《当代修辞学》编辑部、上海外国语大学《外国语》编辑部联合主办的""修辞和语法互动研究""高峰论坛在上海外国语大学虹口校区隆重举行!论坛开幕式由上海外国语大学国际文化交流学院院长张艳莉教授主持,上海外国语大学副校长张峰教授、社科院学部委员沈家煊先生、《当代修辞学》主编、复旦大学中文系祝克懿教授出席了开幕式并致辞。论坛汇聚了多名来自海内外语言学界",当代修辞学,2018-11-29,期刊,H146;H15,92-93,2
10,《当代修辞学》2018年目录汇编,本刊编辑部,O,O,O,当代修辞学,2018-11-29,期刊,Z87,94-95,2
11,立法语言中的但书和非但书研究,骆慧婷;王珊,香港教育大学中国语言学系澳门大学中国语言文学系,立法语言;法律文本;但;但是;但书;语料库;,"""但/但是""句是立法语言中的重要句型,以是否为但书为划分标准,可将立法语言中的""但/但是""句划分为但书和非但书。为了全面分析我国立法语言中""但/但是""句的特点,给立法者、法律文书编撰者和法律汉语学习者等提供科学理论参考,本研究抽取自建立法语言语料库中的所有""但/但是""句,总结分析但书与非但书的区分标准,将语料中所有""但/但是""句区分出但书与非但书,并逐条进行详细标注。标注项目包括语料出处、表现形式、单句或复句、""但/但是""前后内容的语义关系、""但/但是""的语用功能。本文分别统计但书和非但书的标注结果,通过总结但书与非但书的异同反映但书与非但书的使用情况。同时,结合本研究的分析和立法语言规范化要求,针对如何在法律文本和法律文书中规范使用""但/但是""句提出若干建议。",当代修辞学,2018-11-29,期刊,D90-055,77-89,13
12,论现代汉语语法研究中的证据问题,陈平,澳大利亚昆士兰大学语言与文化学院,现代汉语;语法;普通话;北京话;口语;书面语;白话文;,"语法研究所用经验证据有三个主要来源:自拟,真实出现的语言材料,包括口语和书面语,以及实验或调查。现代汉语语法研究始于黎锦熙1924出版的《新著国语文法》。1950年代之前的现代汉语语法著作,根据的几乎全部是书面语材料,包括早期白话文和现代白话文作品,并且大都标明出处,以示有书为证。这种做法延续到1950年代。从1955—1956年公布的普通话定义也可以看出,它代表了当时的共识。1960年代之后,尤其是近三四十年来,通过自拟获取例证的做法渐渐通行开来,更为重视口语,尤其是北京口语的研究,从书面语直接引用或改写的例句也可以不必注明出处。这些变化反映汉语语法研究者对自己语感的自信在不断增强,反映现代汉语语法学界对于什么是合语法或不合语法的用法有了越来越多的共识,也反映现代汉语标准化程度在不断提高。现代汉语语法研究应该如何获取证据,涉及许多同现代汉语标准语的起源与发展有关的问题,主要围绕如何看待作为语料的现代汉语标准语、口语和书面语这三者之间的关系,如何把握自拟、利用真实语料以及实验/调查这三种获取证据的方式各自的特点。本文的主要目的,是梳理有关问题的来龙去脉,并指出某些问题的症结所在。",当代修辞学,2018-10-15,期刊,H146,1-12,12
13,消极修辞对象的一般化及效果的数量化:从“的”的选用谈起,陆丙甫;于赛男,南昌大学语言类型学研究所,消极修辞;“的”的分布和选用;语言结构难度;平均瞬时信息块数;平均依存距离;,"本文依据当代语言学中语言信息结构和语言结构效能的研究成果来分析消极修辞。基于""消极修辞""作为一种""一般修辞""的基本性质,本文以""的""的去留为例,结合一些差异最小的""同义、同词、同序而异构""之""同义结构""的分析,说明消极修辞的最基本原理,并由此证明消极修辞研究吸取当代语法研究成果的必要性。文章也进一步通过""平均瞬时信息块数""和""平均依存距离""两种关于结构难度的计算对消极修辞的效果进行了量化分析。这两种结构难度的计算方法,可以应用于所有一般的短语或句子,因而也具有普遍的意义。文章通过对最最""一般""的语料的分析,显示了消极修辞研究和应用的巨大潜力与空间。",当代修辞学,2018-10-15,期刊,H15,13-25,13
14,主持人语,毛履鸣,O,O,"<正>在美国,修辞写作研究对写作教学的影响和推进有目共睹。如写作教学法方面,有传统教学法(强调句法、文章结构)、表现教学法(强调自我表述)和社会建构教学法(强调文化、意识形态影响、左右思想构建)等。虽为相互抗衡的不同教学流派,但均受修辞写作研究的影响。",当代修辞学,2018-10-15,期刊,H05,26-27,2
15,发展阴阳修辞:从和谐互惠到异中互存,毛履鸣;赵烨冰,犹他大学修辞写作系美国迈阿密大学英语系,极性;对立术语;阴阳修辞;异中互存;,"通过对阴阳修辞的论述并借鉴中国修辞实践的实例,本文重新界定了对立术语(terms of opposites),并对其蕴含的分层极性(hierarchical polarity)和价值判断提出了挑战。本文认为,对立术语应被用来传达和促进相互依赖和相互关联的关系,且异中互存关系(independence-indifference)应该成为研究中国和欧美修辞实践以及运用它们于写作与修辞课堂中的普遍做法。",当代修辞学,2018-10-15,期刊,H05,27-36,10
16,语言工作与写作教学,布鲁斯·霍纳;廖巧云;贾代春,路易斯维尔大学上海外国语大学英语学院重庆工商大学国际商学院,写作技能;迁移;跨语言;语言工作;,"本文认为写作课程应当被视为语言工作的场所和场合,而不是教授写作技能的场合。有关学习迁移的研究以及写作多变性及多样性的特征对写作技能的传输模式带来了挑战,笔者逐一综述这些挑战后提出了一种新的写作课程模式,该模式根据写作课程在维系和修正语言中的作用来定义写作课程的目的和价值,被称为语言工作。跨语言理论表明语言工作不但必要且应该坚持不懈;此外,写作课程为有意从事此项语言工作的人提供了物质手段。学生作文有助于阐释学生如何能够并且确实在完成语言工作中发挥重要作用。",当代修辞学,2018-10-15,期刊,H05-4,37-45,9
17,"论辩写作教学:摒弃亚里士多德劝说论,采纳儒家谏言说",阿拉贝拉·里昂;鞠玉梅,纽约州立大学布法罗分校英语系曲阜师范大学外国语学院,论辩;受众;通用州立标准;议政;劝说;谏言;修辞;,"现今的美国通用课程标准重新强调对写作与语篇产出能力的培养。除了说明与劝说能力以外,特别聚焦于对""基于证据的写作""能力的培养。它将议政或决策完全置于西方的论辩和劝说传统之中,在这一传统中,作者常被赋予说服读者的强者形象。基于这一传统背景,本文探索《论语》中的""谏言""(remonstration)概念,并以此说明论辩写作教学还有其他路径。本文认为,通用标准对写作的用途定义过于狭窄,谏言还包含写作的其他用处,比如尊重受众,建立彼此相互信任的关系,通过多种方式建立社会秩序等,而不仅仅是诉诸法律、政治或党派。与西方论辩传统所强调的控制性劝说不同的是,《论语》所倡导的是基于维护人际和谐关系这一出发点,谏言他人,从而引起一种可能的变化。本文认为,这一不同的思路凸显了美国教育教授给学生思辨、反思和信奉方法的局限性。",当代修辞学,2018-10-15,期刊,H05-4,46-54,9
18,“R不是一般的X”构式的高程度性质及其获得途径,宗守云,上海师范大学人文与传播学院,“R不是一般的X”;构式;高程度;语用否定;,"""R不是一般的X""是高程度构式,有统一的构式意义,说话人强调R超过了一般X的程度。""R不是一般的X""高程度义的获得遵循着""否定一般性,获得程度性""的一般规律,具体说来,首先通过常规推理获得特殊性意义,然后通过回溯推理获得程度性意义。",当代修辞学,2018-10-15,期刊,H146,55-62,8
