1,对话前沿,,上海交通大学,中国叙事学;理论拓展;本土化;跨界;,"2017年是中国叙事学研究蓬勃发展的一年。无论是前沿理论和方法的延伸和创新,还是中国特色叙事理论和素材的挖掘,都产生了不少意义非凡的成果。本文旨在对2017年中国叙事学研究状况作一概览。文章首先总体概述了2017年中国的叙事学研究情况,随后从西方理论拓展、本土叙事学开发、跨界叙事研究三个方面进一步详述了中国叙事学在这一年的发展特征。总体来讲,虽然2017年中国叙事学研究在与西方理论接轨的当代叙事学研究和中国传统叙事学研究方面都颇有进展,但仍有很多亟待开发与补充的空间。鉴于此,本文建议相关学者和研究机构加强学科建设,促进学术交流,并在研究中注重理论兼容性和本土素材的采用。",回归本土——2017年中国叙事学研究述论,万晓蒙;李亚飞,当代外语研究,I04,119-125,7
2,对话、争鸣和探索,,O,O,"<正>回首两千多年前的世界,在几乎相同的时间,中外思想界都曾涌现过不同学派甚至各家族流派之间""争芳斗艳""的局面,而由此所形成的思想和学术成果影响了整个人类文明的发展,也惠泽了人类的世世代代。这种""争芳斗艳""在西方的主要表现形式是""对话""(dialegesthai),在某种程度上,甚至可以说正是""对话""开创了西方绵延的学术史,铸就了其文明的核心元素。从文学史上看,""对话""集大成者当属被称作""老师""的荷马。据统计,一万六千多行的荷马史诗《伊利亚特》仅对话就占据了80%以上的篇幅,在西方世界世代相传的""阿喀琉斯之怒""就是其典型代表。在这场至高无上的统帅与骁勇",当代外语研究,2018-11-28,期刊,H0,3,1
3,国家经济发展需求视角下的英语专业危机及其出路,蔡基刚,复旦大学,英语专业;英语语言文学;专门用途英语;人文教育;外语教育规划;,"英语专业的危机在于单纯的语言技能训练和坚持英语专业本质是人文教育,因此培养的毕业生很难满足国家和社会对跨界复合型人才的要求。英语专业要勇于突破,增设专门用途英语学科方向,致力于培养除英美语言文学之外的其他人文学科和自然学科方面的英语专门人才,即用英语掌握各个学科的知识构建,培养他们用英语汲取和表达各专业和行业内容的能力。英语专业及其支撑的学科只有满足国家和社会的发展需求才能发展,这是新时代背景下高校外语教育规划迫切需要解决的问题。",当代外语研究,2018-11-28,期刊,H319.3,1-9,9
4,英语专业的困境与出路,查明建,上海外国语大学,英语专业;专业意识;人文学科;人文化改革;,"英语专业为改革开放做出了巨大贡献,功不可没,但英语专业也累积了诸多亟待解决的深层次问题。本文分析了英语专业当下所面临的困境,指出困境产生的根本原因是学科观念模糊、专业意识淡漠、偏离专业本位,混淆了英语与英语专业、英语学习与英语专业学习的根本区别,致使英语专业受到严重误解;工具化和功利化观念严重;全国英语专业超大规模化扩展,更加重了英语专业正本清源、固本开新的困难,严重阻碍了英语专业的未来发展。针对英语专业存在的危机,只有明确英语专业的人文学科性质,坚持英语专业的人文性,强化专业意识,才能破除英语专业""工具论""、""无用论""等观念,抓住外语学科五大学科方向设立的契机,实行英语专业人文化综合改革,增强大文科意识和跨学科意识,扩大和深化英语专业的内涵建设;才能在人才培养、课程设置、专业教学、教师发展等方面体现专业内涵和人文品质,增强英语专业的综合竞争力,充分彰显英语专业人才培养的社会价值和英语专业的学术价值。",当代外语研究,2018-11-28,期刊,H319.3,10-15,6
5,治疗英语本科专业“毛病”急需厘清的问题,曲卫国;陈流芳,复旦大学华东师范大学,英语本科专业;语言教学;本科教学;,"大多数学者在讨论英语本科专业所面临的严重问题时并没有跳出传统的思维框架,没有意识到英语专业已经发展到了一个新高度,所出现的问题不是语言教学问题,而是英语专业的本科建设问题。解决英语本科专业所出现的""毛病"",要从如何理解和构建该专业的大学本科性出发。",当代外语研究,2018-11-28,期刊,H319.3,16-18+24,4
6,英语专业究竟哪一点对不起良心?,孙毅,广东外语外贸大学西安外国语大学,英语专业;现状与问题;需求;反驳;,"复旦大学蔡基刚教授在教育部吴岩司长针对全面整顿本科教学秩序的讲话后,对号入座,剑指英语专业,批判其培养规模过大,教学内容无法满足学生需求,毕业生就业困难,继续考取本专业研究生的学生数量偏少等问题,转而直接对接国家重大需求,将英语专业从传统的人文型向工具化的复合型引导。本文与蔡基刚持相反的观点,拟就其提出的所谓""四个衡量条件""来为英语专业正声维权。",当代外语研究,2018-11-28,期刊,H319.3,19-24,6
7,从广义修辞学视角看英语专业救赎,郑珺;林大津,福建师范大学厦门理工学院,英语专业;“病得不轻”;“对不起良心”;学术商榷;,"《文汇报》刊载蔡基刚一文,批评中国英语专业为""对不起良心的专业"",他认为现有大部分英语专业为英美语言文学培养方向,偏离了国家和社会发展需求,也无法满足学生实际需求,之所以还保留英语专业,是英语专业教师保饭碗以及硕导和博导维护个人地位的功利性驱动。因此,蔡文""救治""英语专业的药方有二:一是""休克式""停招英语专业,在硕士层次直接从理工科学生中招收硕士生攻读石油英语等专门学术英语;二是英语专业必须改造成""英语+材料(+财经、+营销)""双学位模式。蔡基刚的专业危机意识以及忧国忧民情怀,可敬可佩,然而其文论点、论据、论证和结论均失之偏颇,逻辑推理也不甚合理,亟待逐一深度剖析,以示正听。",当代外语研究,2018-11-28,期刊,H319.3,25-31,7
8,英语专业:对不起“良心”吗?,何三宁;张道振;李翠英;陈宁阳;石冠辉;杨承松;范娜;李廉;黄赛芳;晏刚;张健;范鹏华;吴慧坚,南京信息工程大学广东工业大学重庆交通大学复旦大学太原科技大学西安交通大学陕西师范大学中国矿业大学海口经济学院山东理工大学西南交通大学广东第二师范学院,英语专业;需求;职业技能;大学英语;,"自2018年11月6日《文汇报》APP发布""英语专业是否是‘对不起良心的专业’?复旦学者:‘病得不轻’""一文以来,奋斗在教学一线的教师、英语专业硕、博士生、英语教育专家学者纷纷结合自身经历,解读蔡基刚提及的标准,探讨""英语专业无良心说""的合理性。他们或直言英语专业发展的困境不是数量问题,而是质量问题,如果""只保留少而精""的英语专业则要考虑就业需求、院校办学特色和人才输送等多方面因素,而各大高校的英语专业是根据自身发展规划、社会需求以及所在地区的需求而设计的,这意味着英语专业人才培养规格具有多样性,不能用一个统一的标准一以概之;当中,有英语专业毕业生坦言确有尝试转型者,但实践成功者不多,反而在这过程中迷失了自我,建议在教学内容上可从""学英语""转向""用英语学""来增加学科存在感和含金量;也有一线的英语专业教师认为把英语专业、公共英语、专业英语三者结合起来是高校办好英语教学的关键,这样既顾及了英语教育的接受面,又考虑到了语言、专业研究的深度问题;还有学者回本溯源,思考英语专业本质,指出""明德、求是、创新""六字是衡量所有专业良心的尺度,而英语专业在这六字上具有直接的优势。",当代外语研究,2018-11-28,期刊,H319.3,32-45+60,15
9,英语专业的属性:工具还是人文?,张和龙;严世清;幸君珺;赵宏;姜学龙;王亚光;侯明华;杨蕾;陈彦旭;覃江华;高雪松;杨京鹏,上海外国语大学苏州工业园区服务外包职业学院上海交通大学华东理工大学西北民族大学四川大学沈阳工业大学浙江财经大学西安交通大学东北师范大学华中农业大学新南威尔士大学北京邮电大学,英语专业;人文性;工具性;,"蔡基刚提出的""坚持英语教育的本质是人文教育抹杀了英语专业的学科性和专业性,是培养不出‘大才’的根源""这一论断一石激起千层浪,专家学者就英语专业属性问题从不同角度进行解读,或肯定英语专业的人文属性,批判蔡基刚的实用主义思想,指出所学英语专业知识对人的影响不是立竿见影,而是潜移默化;英语专业要回归其属于人文科学的范畴,正是人文性强这一特质造就英语专业得天独厚的办学优势。持这些立场的学者批判蔡基刚""科技至上""的理念,直言英语专业教师转型是不可能完成的任务,提出培养""新工科的国际复合型人才""主要是公共外语的责任而非英语专业的任务这一论断。或从实际效用的角度肯定英语专业工具性的必要性,预见淡化专业强化课程的新型人才培养模式可能会成为高校教育教学的主流形态。更有另辟蹊径者从历史维度看英语专业毕业生满足国家大规模经济建设、社会发展和对外交往的实际需求,认为英语专业本身具有实用性。也有学者从哲学角度看英语专业人文性和工具性的辩证统一。各家众说纷纭,雄辞论道,精彩纷呈。",当代外语研究,2018-11-28,期刊,H319.3,46-60,15
10,多视角看新时代英语专业发展方向,杨永林;张文茹;朱波;柴湛涵;黄立鹤;魏耀章;焦丹;余素青;张玉双;王霞;刘江;张慧玉;许环光;杨一铎;林克难;顾静,清华大学中国石油大学南京航空航天大学吉林大学珠海学院同济大学河南工业大学华东政法大学上海电机学院上海大学大连大学浙江大学浙江外国语学院西北大学天津外国语大学上海工程技术大学,英语专业;教学改革;复合型人才;,"虽然蔡基刚已就外语教育规划提出洋洋洒洒的若干建议,但是本系列专家学者立足教学实践和时代需求,直抒胸臆,也从多视角探讨了新时代英语专业发展方向。或聚焦综合英语类课程的不必要性,提出英语专业改革应该为真正的专业化而不是蔡基刚提及的工具化;或结合自身学校办学特色,指出应加强专业教师、学生、国际机构和用人单位的互动,以托起英语专业的""腰"";英语专业改革和教学团队建设双管齐下,不仅着眼英语专业的出路问题,提出英语专业改革走学科型、通专融合型和复合交叉型道路,要适当扩展与其他专业相结合的应用性课程的比例;教学团队还应形成""英语+专业""的模式,鼓励跨学科课程建设。有专家认为,对于复合型人才的培养模式由于学科跨度太大,目前阶段还很难推广;而就英语专业毕业生不从事相关专业相关职业的现状,专家学者有自己的现实考量,认为语言专业毕业生就业范围广泛不是我国特例,也不能说明是语言专业人才培养的失败,且培养新工科复合型人才不一定是英语专业的发展方向,提出应该专注学科本位。",当代外语研究,2018-11-28,期刊,H319.3,61-80+98,21
11,创新驱动发展战略与新时代外语人才创新能力培养对策,王银泉,南京农业大学西安外国语大学,创新能力;批判性思维;外语人才;新时代;国家战略;,"本文在简要解读我国创新驱动发展战略的基础上,结合国内外学者对应试教育的弊端和批判性思维培养的重要性和必要性的分析,提出了新时代外语人才创新能力培养的五大对策。新时代的外语教育应该顺应新的形势,彰显新的理念,呈现新的气象,基于外语教育规划的转型升级,在新《国标》的指引下,通过课程设置、课堂设计、教学模式、评价方式等方面的革新,实现语言能力(技能+学习策略)、人文素养(知识+学科交叉)、创新能力(批判性思维+创新教育)等关键能力的融合,大力推进创新性人才培养,提升个人和国家外语能力,希冀培养出服务于新时代中国特色社会主义建设和国家战略的高规格外语人才。",当代外语研究,2018-11-28,期刊,H319.3,81-91+105,12
