1,第十九届新福州人歌手大赛,,O,O,"<正>由福州市文化广电新闻出版局、福州广播电视台主办的新福州人歌手大赛,原名""福州市外来工作者歌手大赛"",自2000年起已连续成功举办19届。活动旨在搭建心灵与艺术的桥梁,用歌声表达心声,引导人们唱出心中的中国梦以及对福州的热爱与期盼。新福州人歌手大赛曾荣获文化部""全国农民工文化服务示范项目""、第十届中国艺术节项目类""群星奖"",是福州市三大群众文化品牌活动之一。为适应人民群众日益提高的精神文化需求,促进公共",唱响新时代,,筑梦新福州,J692,113,1
2,第一人称纪录片的传播价值,苏静,首都师范大学科德学院,O,"<正>由于人类的自我意识正在发生某种根本性的变化,针对纪录片的传播价值亦产生了新的解读。第一人称纪录片借助电影、电视、手机等影视设备,真实记录个人、家庭、社会等客观世界的发展变化,生动地反映出生活的真实,是一种独具魅力的影视艺术呈现形式。该类型纪录片把镜头直接对准作者自身或者其家人,通过自我讲述,表现私人记忆、家庭故事以及对社会的思考。作为纪录片的一种独立的存在形式,第一人称纪录片的传播者追求",当代电视,2018-12-01,期刊,J952,70-71,2
3,《风味人间》:中国美食纪录片新范式,肖清,湖南广播电视台,O,"<正>2018年10月28日,美食纪录片《风味人间》在浙江卫视和腾讯视频同步上线播出。一经播出,该纪录片在豆瓣的评分就高达9.3分,更有72.8%的观众给出了满分五星的评价。与陈晓卿团队前两部美食纪录片相比,《风味人间》算是一种回调,回归到更纯粹的美食演绎和流变,把人和食物的关系故事讲得更精妙,把人和人通过食物串联起的情感表现得更深邃和隐蔽,站在全球视野来观照美食人文故事,以中国美食为基点,探索更广阔领域的美",当代电视,2018-12-01,期刊,J952,72-73,2
4,《岁岁年年柿柿红》的家庭观念与乡土情怀,窦金启;穆秀丙,山西师范大学,O,"<正>《岁岁年年柿柿红》以跨越三代人的宏观视角,叙说了平凡农家历经四十载的沧桑变化,以最为质朴平实的语调,道尽了陕北这片古老土地的春华秋实。该剧旨在为农村立根、为农民立传,用大拙大巧的艺术风格展现了当代乡村的变迁。本文将围绕""去与留""这一主题,以人物的家园坚守为中心,分析《岁岁年年柿柿红》所传递的家庭观念与乡土情怀。一、家庭坚守:平凡岁月里的情感史诗《岁岁年年柿柿红》在央视综合频道播出后,连续",当代电视,2018-12-01,期刊,J905,35-36,2
5,从《灵与肉》看经典文学改编剧的时代价值,岳大为,哈尔滨师范大学传媒学院,O,"<正>电视剧《灵与肉》改编自张贤亮同名短篇小说,叙说了贺兰山下""牧马人""的命运变迁,是一部时代赠予知识青年的心灵成长史。该剧拓展了原著的土地依恋主题,将古道西风瘦马的苍劲融入人物的生命轨迹与情感历程中,进而摹写知识分子在特殊时代环境中的复杂心境。从经典文学改编的角度而言,该剧大胆加工、谨慎还原,建构出镇北堡七队的人物群像,妙趣横生的情节冲淡了文学的原色,最终交托于观众的是岁月洗礼后的灵魂颂",当代电视,2018-12-01,期刊,J905,37-38,2
6,浅析《和平饭店》的时空建构与人物塑造,陈露,福建江夏学院设计与创意学院,O,"<正>由李骏执导,陈数、雷佳音、李光洁领衔主演的悬疑谍战剧《和平饭店》,以轻松幽默的基调,讲述了抗战时期,在伪满洲国一家名为""和平饭店""的奢华酒店中,一群神秘的客人在看似闭合的空间内合纵连横,展开长达240小时生死博弈的故事。本文拟从时空建构和典型人物塑造两个方面,浅析《和平饭店》在谍战剧中的创新之处。一、既定时空结构的剧作功能在规定的时空环境中建构起激烈的戏剧冲突并做到严谨而巧妙的叙事,是对导演宏观调度能力的考验。笔",当代电视,2018-12-01,期刊,J905,44-45,2
7,试论纪录片话语的神话性,吴雨蓉,鞍山师范学院,O,"<正>纪录片是社会历史现实的影像书写,意义性是纪录片作为一种""高级艺术形式""的必然属性,传递""嗓音""、表达意义是纪录片通过真实影像手段试图达到的最终目的。除了通过特定的叙事形式得以生成与表达之外,纪录片还通过构建神话的方式来发挥着意指作用,形成独特的话语意义。罗兰·巴特在符号学的基础上创建了神话学。本文将以符号学和神话学为理论工具,从内涵层面阐释纪录片是如何通过构建神话的方式来发挥意指作用,形成独特的话语意义。",当代电视,2018-12-01,期刊,J952,67-68+63,3
8,《最后的棒棒》:平凡中的伟大,许爱珠;李杰,南昌大学新闻与传播学院,O,"<正>纪录片《最后的棒棒》着力关注""山城棒棒军""这一特殊群体的生存境遇。本文从""个体境遇与国家发展""、""改变与改革""、""情怀与坚守""三个维度,探讨改革开放与《最后的棒棒》的关联性。一、个体境遇与国家发展:休戚相关的命运共同体伴随着改革开放的东风,山城重庆由于典型的地理环境孕育出了一个特殊的职业—""棒棒军"",这是一群每天爬坡上坎,负重前行,游走于城市的大街小巷,从事搬运工作的人。他们与改革开放同生,如今四十年过去,",当代电视,2018-12-01,期刊,J952,78-79,2
9,清醒的审视,,河北传媒学院,O,"<正>文献纪录片不是事件发生的实时记录,而是利用历史资料作为素材进行创作,来展示完整的历史场景和事件细节。《揭秘731部队》作为一部文献纪录片,通过把历史文献转换成视听语言的形式,向观众讲述侵华日军731部队的恶行,在独特的叙事中呈现历史真实。一、叙事元素激活了历史事实《揭秘731部队》通过罗列具有不同价值功能的叙事元素,来唤起活生生的历史记忆。这些叙事元素包括静态的档案资料、老照片、环境场景,以及动态的日军老兵、",深沉的思考——文献纪录片《揭秘731部队》叙事分析,马明杰;宋秉霖,当代电视,J952,83-84,2
10,"《邪不压正》:北平往事,家国情仇",赵德旺,南京大学淮阴师范学院,O,"<正>姜文导演的电影《邪不压正》改编自张北海小说《侠隐》,将背景设定在民国年间的北平,讲述了在七七事变前夕,身负师门深仇的李天然回国复仇的故事。李天然的一生有""三个爸爸""和改变他的两个女人,师父、亨得勒、蓝老爷,唐凤仪、关巧红,还有两个发誓手刃的仇人,背叛师门的朱潜龙与日本侵略者根本一郎,这些人在动荡年代的北平亦正亦邪,有人为了治家国、平天下,有人为了找寻自我内心的空缺,在欲望与命运的交织下,共同抒写",当代电视,2018-12-01,期刊,J905,110-111,2
11,宫斗剧的社会心理投射,黄橙,中央广播电视总台电视剧频道,O,"<正>2004年,宫斗剧《金枝欲孽》获得较好的收视成绩,此后产生了一批有一定影响的宫斗剧,如《大清后宫》(2006年)、《美人心计》(2010年)、《宫》(2011年)、《步步惊心》(2011年)、《甄传》(2011年)、《陆贞传奇》(2013年)、《芈月传》(2015年)、《楚乔传》(2017年)等。其中《甄传》将宫斗剧推向了高潮。今年《延禧攻略》在爱奇艺独播,引发媒体对网络独播剧的现象级",当代电视,2018-12-01,期刊,J905,16-17,2
